secret_length,secret_special_chars,secret_has_url,StartLine,EndLine,StartColumn,EndColumn,secret_entropy,secret_letter_ratio,secret_digit_ratio,secret_upper_ratio,secret_special_ratio,secret_base64_ratio,has_prefix_aws_akid,has_prefix_github,has_prefix_slack,ctx_has_pass,ctx_has_token,ctx_has_key,ctx_has_secret,ctx_has_example,RuleID,file_extension
85,5,0,72,88,13,46,5.406047259488948,0.8235294117647058,0.11764705882352941,0.3764705882352941,0.058823529411764705,0.9411764705882353,0,0,0,0,1,0,0,1,jwt-token,py
77,9,1,6,143,48,49,5.185173391147574,0.7532467532467533,0.12987012987012986,0.3246753246753247,0.11688311688311688,0.961038961038961,0,0,0,0,0,0,0,0,slack-webhook-url,Dockerfile
25,1,0,187,143,21,77,4.213660689688185,0.84,0.12,0.48,0.04,0.96,0,0,0,0,1,0,0,0,aws-access-token,md
40,1,0,124,7,32,58,4.53418371977919,0.825,0.15,0.325,0.025,0.975,0,1,0,0,0,0,0,0,github-pat,ts
38,1,0,131,114,59,41,4.5239860659612985,0.868421052631579,0.10526315789473684,0.18421052631578946,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,1,discord-bot-token,md
40,0,0,25,134,47,7,4.753055907333276,0.925,0.075,0.35,0.0,1.0,0,0,0,0,0,1,0,0,heroku-api-key,yml
42,1,0,176,169,20,71,4.8505343870129645,0.8809523809523809,0.09523809523809523,0.2857142857142857,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,0,mailchimp-access-token,md
80,2,0,119,79,50,2,5.296439344671013,0.8125,0.1625,0.425,0.025,0.975,0,0,0,0,1,0,0,0,jwt-token,py
74,7,0,99,189,4,36,5.261629507690878,0.7972972972972973,0.10810810810810811,0.40540540540540543,0.0945945945945946,0.9594594594594594,0,0,0,0,0,0,0,1,slack-webhook-url,py
87,1,0,14,56,3,66,5.470194179951134,0.896551724137931,0.09195402298850575,0.4482758620689655,0.011494252873563218,0.9885057471264368,0,0,0,0,1,0,0,1,jwt-token,json
37,1,0,192,167,31,19,4.722966879142466,0.8378378378378378,0.13513513513513514,0.5405405405405406,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,sendgrid-api-token,json
37,1,0,34,12,79,77,4.702564514219128,0.7297297297297297,0.24324324324324326,0.40540540540540543,0.02702702702702703,0.972972972972973,0,0,0,0,0,0,0,1,mongodb-atlas-connection-string,py
40,0,0,103,94,29,35,4.565311532225101,0.725,0.275,0.45,0.0,1.0,0,0,0,1,0,0,0,0,postgres-password,yml
75,7,0,170,64,2,57,5.218492857018318,0.8266666666666667,0.08,0.29333333333333333,0.09333333333333334,0.96,0,0,0,0,0,0,0,1,slack-webhook-url,py
38,1,0,10,107,72,30,4.4385883686498095,0.8421052631578947,0.13157894736842105,0.2894736842105263,0.02631578947368421,0.9736842105263158,0,0,0,1,0,0,0,0,postgres-password,md
37,1,0,59,153,72,29,4.722966879142466,0.7567567567567568,0.21621621621621623,0.43243243243243246,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,discord-bot-token,md
41,1,0,107,50,11,15,4.851335236272632,0.8292682926829268,0.14634146341463414,0.4146341463414634,0.024390243902439025,0.975609756097561,0,0,0,0,0,0,0,1,github-pat,json
33,2,0,94,4,14,37,4.27137063437885,0.6363636363636364,0.30303030303030304,0.18181818181818182,0.06060606060606061,0.9393939393939394,0,0,0,0,0,1,0,1,stripe-api-key,md
37,1,0,28,58,40,6,4.682162149295792,0.918918918918919,0.05405405405405406,0.5405405405405406,0.02702702702702703,0.972972972972973,0,0,0,1,0,0,0,1,postgres-password,py
42,1,0,35,76,22,57,4.784941827437644,0.8809523809523809,0.09523809523809523,0.40476190476190477,0.023809523809523808,0.9761904761904762,0,0,0,1,0,0,0,1,postgres-password,py
40,0,0,129,141,56,34,4.921928094887363,0.85,0.15,0.375,0.0,1.0,0,0,0,0,0,0,0,0,mongodb-atlas-connection-string,js
42,1,0,155,34,77,37,4.556140863760577,0.8809523809523809,0.09523809523809523,0.30952380952380953,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,0,discord-bot-token,md
118,22,0,86,95,64,8,4.962850521175188,0.652542372881356,0.11016949152542373,0.4745762711864407,0.1864406779661017,0.7796610169491526,0,0,0,0,0,1,0,0,private-key,py
38,1,0,191,13,44,48,4.826874881864639,0.8421052631578947,0.13157894736842105,0.34210526315789475,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,heroku-api-key,json
23,1,0,145,166,57,71,4.262692390839622,0.782608695652174,0.17391304347826086,0.4782608695652174,0.043478260869565216,0.9565217391304348,0,0,0,0,1,0,0,1,aws-access-token,json
38,1,0,96,133,28,53,4.701746263386654,0.868421052631579,0.10526315789473684,0.4473684210526316,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,api-key,py
79,7,0,190,159,58,30,5.333790995226589,0.7341772151898734,0.17721518987341772,0.22784810126582278,0.08860759493670886,0.9620253164556962,0,0,0,0,0,0,0,1,slack-webhook-url,py
130,22,0,60,166,49,36,5.1073057530840815,0.6923076923076923,0.07692307692307693,0.4230769230769231,0.16923076923076924,0.7692307692307693,0,0,0,0,0,1,0,0,private-key,md
20,1,0,123,53,20,22,4.021928094887362,0.65,0.3,0.65,0.05,0.95,0,0,0,0,1,0,0,1,aws-access-token,py
80,4,0,135,123,28,16,5.474747626002142,0.775,0.175,0.4,0.05,0.95,0,0,0,0,1,0,0,0,jwt-token,json
15,2,0,119,130,7,40,3.1068905956085184,0.8666666666666667,0.0,0.0,0.13333333333333333,0.8666666666666667,0,0,0,0,1,0,0,0,jwt-token,md
40,0,0,192,103,10,24,4.73418371977919,0.825,0.175,0.475,0.0,1.0,0,0,0,0,0,0,0,0,mongodb-atlas-connection-string,py
42,1,0,135,111,77,29,4.76696831548137,0.9285714285714286,0.047619047619047616,0.35714285714285715,0.023809523809523808,0.9761904761904762,0,0,0,1,0,0,0,0,postgres-password,md
118,22,0,27,13,72,2,5.080783969996318,0.6779661016949152,0.0847457627118644,0.4406779661016949,0.1864406779661017,0.7796610169491526,0,0,0,0,0,1,0,0,private-key,js
33,2,0,17,40,58,68,4.438333513297849,0.8484848484848485,0.09090909090909091,0.30303030303030304,0.06060606060606061,0.9393939393939394,0,0,0,0,0,1,0,1,stripe-api-key,py
40,0,0,107,54,32,74,4.784183719779189,0.9,0.1,0.425,0.0,1.0,0,0,0,0,1,0,0,0,mailchimp-access-token,json
42,1,0,77,54,75,4,4.832560875056692,0.7380952380952381,0.23809523809523808,0.23809523809523808,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,1,heroku-api-key,py
38,1,0,157,124,13,57,4.629249223856035,0.868421052631579,0.10526315789473684,0.5,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,generic-api-key,py
85,3,0,116,157,71,40,5.505932259438042,0.8235294117647058,0.1411764705882353,0.36470588235294116,0.03529411764705882,0.9647058823529412,0,0,0,0,1,0,0,1,jwt-token,py
40,0,0,110,51,11,13,5.021928094887363,0.85,0.15,0.375,0.0,1.0,0,0,0,0,0,1,0,0,generic-api-key,js
37,1,0,86,193,80,16,4.648510460165074,0.8918918918918919,0.08108108108108109,0.5405405405405406,0.02702702702702703,0.972972972972973,0,0,0,0,0,1,0,0,api-key,md
38,1,0,132,165,66,13,4.879506460812008,0.7631578947368421,0.21052631578947367,0.39473684210526316,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,1,discord-bot-token,example
37,2,0,52,106,44,31,4.59445640611102,0.8918918918918919,0.05405405405405406,0.32432432432432434,0.05405405405405406,0.9459459459459459,0,0,0,0,0,1,0,1,stripe-api-key,py
40,0,0,84,83,5,40,4.803055907333277,0.9,0.1,0.375,0.0,1.0,0,0,0,0,1,0,0,0,mailchimp-access-token,ts
37,1,0,30,56,50,12,4.682162149295792,0.8378378378378378,0.13513513513513514,0.43243243243243246,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,sendgrid-api-token,py
40,0,0,182,169,31,52,4.646439344671014,0.75,0.25,0.475,0.0,1.0,0,0,0,0,0,1,0,0,twilio-api-key,py
42,1,0,36,122,33,71,4.832560875056692,0.7619047619047619,0.21428571428571427,0.2857142857142857,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,1,mailchimp-access-token,py
37,1,0,56,100,70,73,4.885129041304628,0.8378378378378378,0.13513513513513514,0.3783783783783784,0.02702702702702703,0.972972972972973,0,0,0,1,0,0,0,1,postgres-password,json
38,1,0,120,134,12,28,4.668980145022533,0.8157894736842105,0.15789473684210525,0.42105263157894735,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,api-key,json
40,1,0,36,150,58,63,4.753055907333275,0.95,0.025,0.3,0.025,0.975,0,0,0,0,0,1,0,0,heroku-api-key,md
37,2,0,26,107,57,24,4.777020933196519,0.8108108108108109,0.13513513513513514,0.2972972972972973,0.05405405405405406,0.9459459459459459,0,0,0,0,0,1,0,1,stripe-api-key,py
46,1,0,114,20,47,46,4.8656345102637415,0.8478260869565217,0.13043478260869565,0.45652173913043476,0.021739130434782608,0.9782608695652174,0,0,0,0,0,0,0,1,github-pat,py
40,1,0,48,63,32,24,4.5653115322251026,0.9,0.075,0.25,0.025,0.975,0,0,0,0,0,1,0,0,api-key,md
59,3,0,55,97,2,7,4.996801311963696,0.7627118644067796,0.1864406779661017,0.3389830508474576,0.05084745762711865,0.9491525423728814,0,0,0,0,1,0,0,0,discord-bot-token,py
40,1,0,189,176,40,73,4.853055907333276,0.725,0.25,0.325,0.025,0.975,0,0,0,0,0,1,0,1,api-key,json
38,1,0,192,6,41,9,4.701746263386652,0.9473684210526315,0.02631578947368421,0.4473684210526316,0.02631578947368421,0.9736842105263158,0,0,0,0,0,0,0,1,mongodb-atlas-connection-string,md
32,2,0,57,54,16,60,4.538909765557392,0.78125,0.15625,0.40625,0.0625,0.9375,0,0,0,0,0,1,0,0,stripe-api-key,sh
42,1,0,162,128,46,36,4.802915339393917,0.8333333333333334,0.14285714285714285,0.35714285714285715,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,0,sendgrid-api-token,md
40,0,0,180,13,56,53,4.753055907333276,0.825,0.175,0.475,0.0,1.0,0,0,0,0,0,1,0,0,heroku-api-key,json
77,7,0,165,113,8,20,5.209850462964329,0.7662337662337663,0.14285714285714285,0.2077922077922078,0.09090909090909091,0.961038961038961,0,0,0,0,0,0,0,1,slack-webhook-url,py
87,6,0,83,102,57,74,5.3175020820759125,0.7816091954022989,0.14942528735632185,0.3333333333333333,0.06896551724137931,0.9310344827586207,0,0,0,0,1,0,0,1,jwt-token,example
41,1,0,106,174,5,68,4.753774260662876,0.7317073170731707,0.24390243902439024,0.5365853658536586,0.024390243902439025,0.975609756097561,0,0,0,0,0,0,0,1,github-pat,json
82,5,0,123,144,74,54,5.23390608403982,0.8536585365853658,0.08536585365853659,0.35365853658536583,0.06097560975609756,0.9390243902439024,0,0,0,0,1,0,0,1,jwt-token,py
74,7,0,200,1,78,42,5.195675662809307,0.7027027027027027,0.20270270270270271,0.28378378378378377,0.0945945945945946,0.9594594594594594,0,0,0,0,0,0,0,0,slack-webhook-url,md
23,1,0,78,122,10,80,4.229871195093384,0.6086956521739131,0.34782608695652173,0.30434782608695654,0.043478260869565216,0.9565217391304348,0,0,0,0,1,0,0,0,aws-access-token,md
42,1,0,69,168,6,39,4.916126946588286,0.9047619047619048,0.07142857142857142,0.2857142857142857,0.023809523809523808,0.9761904761904762,0,0,0,0,0,0,0,1,github-pat,yml
40,0,0,68,197,61,13,4.496439344671016,0.9,0.1,0.475,0.0,1.0,0,0,0,0,0,1,0,0,heroku-api-key,tf
40,0,0,191,132,71,58,4.5653115322251026,0.775,0.225,0.5,0.0,1.0,0,0,0,0,0,1,1,0,twilio-api-key,yaml
40,0,0,116,186,35,34,4.653055907333275,0.9,0.1,0.525,0.0,1.0,0,0,0,0,1,0,0,0,mailchimp-access-token,sh
118,22,0,109,184,70,55,5.107438605824511,0.6779661016949152,0.0847457627118644,0.4406779661016949,0.1864406779661017,0.7796610169491526,0,0,0,0,0,1,0,0,private-key,sh
40,0,0,49,193,31,42,4.753055907333276,0.775,0.225,0.4,0.0,1.0,0,0,0,0,0,1,0,0,generic-api-key,yml
38,1,0,160,141,24,48,4.80700942128139,0.868421052631579,0.10526315789473684,0.39473684210526316,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,twilio-api-key,example
17,3,0,149,73,12,27,3.2927701939369904,0.8235294117647058,0.0,0.0,0.17647058823529413,0.8235294117647058,0,0,0,0,1,0,0,1,jwt-token,json
130,26,0,162,44,65,24,5.040851833076004,0.6923076923076923,0.046153846153846156,0.46923076923076923,0.2,0.7692307692307693,0,0,0,0,0,1,0,0,private-key,md
59,0,0,104,151,55,8,5.09401042202318,0.7966101694915254,0.2033898305084746,0.4406779661016949,0.0,1.0,0,0,0,0,1,0,0,0,discord-bot-token,py
77,8,1,170,59,23,55,5.096150625273893,0.7662337662337663,0.12987012987012986,0.35064935064935066,0.1038961038961039,0.974025974025974,0,0,0,0,0,0,0,0,slack-webhook-url,tf
40,0,0,16,118,3,9,4.921928094887362,0.825,0.175,0.3,0.0,1.0,0,0,0,0,0,1,0,0,heroku-api-key,js
40,0,0,187,145,31,53,4.834183719779189,0.825,0.175,0.45,0.0,1.0,0,0,0,0,1,0,0,0,mailchimp-access-token,go
38,1,0,16,127,68,64,4.629249223856036,0.8421052631578947,0.13157894736842105,0.34210526315789475,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,1,mailchimp-access-token,py
82,3,0,9,186,69,76,5.447439925556002,0.7682926829268293,0.1951219512195122,0.4146341463414634,0.036585365853658534,0.9634146341463414,0,0,0,0,1,0,0,0,jwt-token,md
40,1,0,66,116,50,14,4.903055907333275,0.85,0.125,0.35,0.025,0.975,0,0,0,0,1,0,0,1,sendgrid-api-token,json
40,0,0,79,197,63,66,4.684183719779188,0.825,0.175,0.475,0.0,1.0,0,0,0,0,1,0,0,0,sendgrid-api-token,py
42,1,0,38,5,58,43,4.76696831548137,0.8333333333333334,0.14285714285714285,0.23809523809523808,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,1,mailchimp-access-token,py
74,7,0,40,21,74,55,5.266555561428718,0.7567567567567568,0.14864864864864866,0.35135135135135137,0.0945945945945946,0.9594594594594594,0,0,0,0,0,0,0,0,slack-webhook-url,md
38,1,0,166,71,39,38,4.629249223856035,0.8947368421052632,0.07894736842105263,0.47368421052631576,0.02631578947368421,0.9736842105263158,0,0,0,1,0,0,0,1,postgres-password,py
89,2,0,34,94,38,39,5.229735082768859,0.6853932584269663,0.29213483146067415,0.24719101123595505,0.02247191011235955,0.9775280898876404,0,0,0,0,1,0,0,0,jwt-token,yml
69,1,0,98,152,31,63,5.347229891372647,0.8840579710144928,0.10144927536231885,0.4057971014492754,0.014492753623188406,0.9855072463768116,0,0,0,0,1,0,0,0,jwt-token,ts
38,1,0,151,188,20,62,4.649114684439285,0.8947368421052632,0.07894736842105263,0.39473684210526316,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,generic-api-key,py
87,2,0,42,150,47,65,5.2414570014466495,0.8850574712643678,0.09195402298850575,0.2988505747126437,0.022988505747126436,0.9770114942528736,0,0,0,0,1,0,0,1,jwt-token,json
37,1,0,142,44,61,60,4.540402352056966,0.7567567567567568,0.21621621621621623,0.35135135135135137,0.02702702702702703,0.972972972972973,0,0,0,0,0,1,0,0,twilio-api-key,md
38,1,0,75,91,79,68,4.787143960698141,0.8947368421052632,0.07894736842105263,0.3684210526315789,0.02631578947368421,0.9736842105263158,0,0,0,1,0,0,0,0,postgres-password,md
38,1,0,57,173,51,31,4.616348566075165,0.8421052631578947,0.13157894736842105,0.3157894736842105,0.02631578947368421,0.9736842105263158,0,0,0,0,0,0,0,1,mongodb-atlas-connection-string,py
80,0,0,73,37,30,34,5.3558754384480585,0.8375,0.1625,0.4125,0.0,1.0,0,0,0,0,1,0,1,0,jwt-token,yaml
42,1,0,136,63,43,35,4.689703732199549,0.8809523809523809,0.09523809523809523,0.2619047619047619,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,0,twilio-api-key,md
40,0,0,146,66,70,20,4.803055907333277,0.85,0.15,0.3,0.0,1.0,0,0,0,0,0,1,1,0,generic-api-key,yaml
74,7,0,112,185,62,6,5.202300324912996,0.8243243243243243,0.08108108108108109,0.4189189189189189,0.0945945945945946,0.9594594594594594,0,0,0,0,0,0,0,0,slack-webhook-url,md
38,1,0,43,40,49,59,4.774243302917271,0.7894736842105263,0.18421052631578946,0.3157894736842105,0.02631578947368421,0.9736842105263158,0,0,0,0,0,0,0,1,mongodb-atlas-connection-string,py
37,1,0,95,9,32,39,4.486348298002912,0.8378378378378378,0.13513513513513514,0.4594594594594595,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,discord-bot-token,json
40,0,0,181,125,11,15,4.703055907333276,0.8,0.2,0.425,0.0,1.0,0,0,0,1,0,0,0,0,postgres-password,js
77,7,0,186,69,35,76,5.178806832762211,0.7402597402597403,0.16883116883116883,0.22077922077922077,0.09090909090909091,0.961038961038961,0,0,0,0,0,0,0,0,slack-webhook-url,md
118,22,0,162,147,63,75,5.130785110080133,0.6779661016949152,0.0847457627118644,0.4491525423728814,0.1864406779661017,0.7796610169491526,0,0,0,0,0,1,0,0,private-key,js
37,1,0,132,41,76,62,4.939183095358683,0.8378378378378378,0.13513513513513514,0.32432432432432434,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,discord-bot-token,py
37,1,0,132,72,31,56,4.756618568273181,0.8378378378378378,0.13513513513513514,0.4594594594594595,0.02702702702702703,0.972972972972973,0,0,0,0,0,1,0,1,heroku-api-key,example
42,1,0,170,143,36,6,4.526495328097801,0.8809523809523809,0.09523809523809523,0.23809523809523808,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,1,discord-bot-token,py
130,22,0,60,166,49,36,5.1073057530840815,0.6923076923076923,0.07692307692307693,0.4230769230769231,0.16923076923076924,0.7692307692307693,0,0,0,0,0,1,0,0,private-key,md
77,7,0,128,35,72,4,5.131928385042252,0.7662337662337663,0.14285714285714285,0.2597402597402597,0.09090909090909091,0.961038961038961,0,0,0,0,0,0,0,1,slack-webhook-url,py
40,0,0,77,88,25,55,4.784183719779189,0.825,0.175,0.475,0.0,1.0,0,0,0,0,0,1,0,0,twilio-api-key,tf
37,1,0,90,196,44,69,4.702564514219128,0.9459459459459459,0.02702702702702703,0.6486486486486487,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,mailchimp-access-token,py
130,24,0,64,103,40,35,5.205221568108701,0.6692307692307692,0.08461538461538462,0.4461538461538462,0.18461538461538463,0.7692307692307693,0,0,0,0,0,1,0,1,private-key,py
75,7,0,37,27,52,42,5.203567317301469,0.8133333333333334,0.09333333333333334,0.3466666666666667,0.09333333333333334,0.96,0,0,0,0,0,0,0,1,slack-webhook-url,md
77,7,0,178,162,34,34,5.364062189989359,0.7532467532467533,0.15584415584415584,0.2597402597402597,0.09090909090909091,0.961038961038961,0,0,0,0,0,0,0,1,slack-webhook-url,py
42,1,0,140,37,62,14,4.94577248225106,0.9285714285714286,0.047619047619047616,0.40476190476190477,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,0,sendgrid-api-token,md
59,2,0,107,62,79,30,5.026213811853689,0.847457627118644,0.11864406779661017,0.3559322033898305,0.03389830508474576,0.9661016949152542,0,0,0,0,1,0,0,0,discord-bot-token,js
40,0,0,190,72,49,27,4.903055907333276,0.825,0.175,0.375,0.0,1.0,0,0,0,0,1,0,0,0,sendgrid-api-token,ts
38,1,0,75,153,23,16,4.4713544870139295,0.9210526315789473,0.05263157894736842,0.3157894736842105,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,0,generic-api-key,md
42,1,0,190,33,61,5,4.898153434632012,0.8333333333333334,0.14285714285714285,0.4523809523809524,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,1,sendgrid-api-token,json
37,1,0,47,169,72,2,4.722966879142467,0.8918918918918919,0.08108108108108109,0.5135135135135135,0.02702702702702703,0.972972972972973,0,0,0,1,0,0,0,1,postgres-password,json
40,0,0,154,164,30,9,4.753055907333276,0.825,0.175,0.45,0.0,1.0,0,0,0,0,0,1,0,0,generic-api-key,json
37,1,0,21,153,69,15,4.648510460165075,0.8378378378378378,0.13513513513513514,0.43243243243243246,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,discord-bot-token,json
40,0,0,178,149,57,33,4.903055907333276,0.9,0.1,0.475,0.0,1.0,0,0,0,0,0,1,0,0,generic-api-key,json
15,2,0,70,34,46,38,3.1068905956085184,0.8666666666666667,0.0,0.0,0.13333333333333333,0.8666666666666667,0,0,0,1,0,0,0,1,postgres-password,py
42,1,0,95,183,76,15,4.832560875056692,0.9285714285714286,0.047619047619047616,0.2857142857142857,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,0,generic-api-key,md
77,9,1,196,92,19,28,5.105954359068225,0.7662337662337663,0.11688311688311688,0.3116883116883117,0.11688311688311688,0.961038961038961,0,0,0,0,0,0,0,0,slack-webhook-url,Dockerfile
42,1,0,187,106,53,3,4.707677244155821,0.8571428571428571,0.11904761904761904,0.3333333333333333,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,1,heroku-api-key,yml
40,1,0,68,168,41,14,4.5841837197791895,0.825,0.15,0.275,0.025,0.975,0,0,0,0,0,1,0,1,twilio-api-key,py
35,2,0,135,199,40,16,4.764857659740294,0.8285714285714286,0.11428571428571428,0.2857142857142857,0.05714285714285714,0.9428571428571428,0,0,0,0,0,1,0,1,stripe-api-key,json
15,2,0,192,136,76,66,3.1068905956085184,0.8666666666666667,0.0,0.0,0.13333333333333333,0.8666666666666667,0,0,0,0,1,0,0,0,aws-access-token,md
35,2,0,87,29,31,6,4.672140159802106,0.8,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.9428571428571428,0,0,0,0,0,1,0,1,stripe-api-key,example
37,1,0,4,3,62,20,4.810672622327237,0.7837837837837838,0.1891891891891892,0.40540540540540543,0.02702702702702703,0.972972972972973,0,0,0,0,0,0,0,1,mongodb-atlas-connection-string,py
40,1,0,165,29,66,60,4.78418371977919,0.85,0.125,0.325,0.025,0.975,0,0,0,0,0,1,0,1,twilio-api-key,py
42,1,0,174,46,31,78,4.671730220243275,0.7857142857142857,0.19047619047619047,0.2857142857142857,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,0,api-key,md
40,0,0,31,107,71,43,4.971928094887363,0.875,0.125,0.375,0.0,1.0,0,0,0,1,0,0,0,0,postgres-password,py
38,1,0,157,124,13,57,4.629249223856035,0.868421052631579,0.10526315789473684,0.5,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,generic-api-key,json
21,3,0,33,99,48,8,3.748994803525096,0.8571428571428571,0.0,0.0,0.14285714285714285,0.8571428571428571,0,0,0,0,0,1,0,1,stripe-api-key,py
37,1,0,55,4,75,31,4.540402352056966,0.7837837837837838,0.1891891891891892,0.2972972972972973,0.02702702702702703,0.972972972972973,0,0,0,1,0,0,0,1,postgres-password,example
82,3,0,3,160,53,16,5.33268493123628,0.8658536585365854,0.0975609756097561,0.4024390243902439,0.036585365853658534,0.9634146341463414,0,0,0,0,1,0,0,1,jwt-token,md
74,7,0,112,185,62,6,5.202300324912996,0.8243243243243243,0.08108108108108109,0.4189189189189189,0.0945945945945946,0.9594594594594594,0,0,0,0,0,0,0,0,slack-webhook-url,md
